date,UNEMPLOYMENT_RATE,UNEMPLOYMENT_RATE_PCT_CHANGE,LABOR_FORCE_PARTICIPATION,LABOR_FORCE_PARTICIPATION_PCT_CHANGE,REAL_MEDIAN_HH_INCOME,REAL_MEDIAN_HH_INCOME_PCT_CHANGE,GINI_INDEX,GINI_INDEX_PCT_CHANGE,REAL_PCE_PER_CAPITA,REAL_PCE_PER_CAPITA_PCT_CHANGE,LIFE_EXPECTANCY_AT_BIRTH,LIFE_EXPECTANCY_AT_BIRTH_PCT_CHANGE,REAL_GDP_PER_CAPITA,REAL_GDP_PER_CAPITA_PCT_CHANGE,CPI_INFLATION,CPI_INFLATION_PCT_CHANGE,FEDERAL_MIN_WAGE,FEDERAL_MIN_WAGE_PCT_CHANGE,UNION_MEMBERSHIP_RATE,UNION_MEMBERSHIP_RATE_PCT_CHANGE,EDUCATION_BACHELORS_PLUS,EDUCATION_BACHELORS_PLUS_PCT_CHANGE,VIOLENT_CRIME_RATE,VIOLENT_CRIME_RATE_PCT_CHANGE,HEALTH_INSURANCE_COVERAGE,HEALTH_INSURANCE_COVERAGE_PCT_CHANGE,GOVT_SOCIAL_SPENDING_PER_CAP,GOVT_SOCIAL_SPENDING_PER_CAP_PCT_CHANGE,REAL_MEDIAN_RENT,REAL_MEDIAN_RENT_PCT_CHANGE,TOTAL_POPULATION,TOTAL_POPULATION_PCT_CHANGE,POVERTY_RATE_OFFICIAL,POVERTY_RATE_OFFICIAL_PCT_CHANGE
1929-01-01,,,,,,,,,635.0,,,,,,,,,,,,,,,,,,,,,,,,,
1930-01-01,,,,,,,,,569.0,-10.393700787401572,,,,,,,,,,,,,,,,,,,,,,,,
1931-01-01,,,,,,,,,489.0,-14.059753954305798,,,,,,,,,,,,,,,,,,,,,,,,
1932-01-01,,,,,,,,,390.0,-20.24539877300614,,,,,,,,,,,,,,,,,,,,,,,,
1933-01-01,,,,,,,,,366.0,-6.153846153846154,,,,,,,,,,,,,,,,,,,,,,,,
1934-01-01,,,,,,,,,407.0,11.202185792349727,,,,,,,,,,,,,,,,,,,,,,,,
1935-01-01,,,,,,,,,439.0,7.862407862407861,,,,,,,,,,,,,,,,,,,,,,,,
1936-01-01,,,,,,,,,485.0,10.478359908883817,,,,,,,,,,,,,,,,,,,,,,,,
1937-01-01,,,,,,,,,518.0,6.804123711340204,,,,,,,,,,,,,,,,,,,,,,,,
1938-01-01,,,,,,,,,495.0,-4.440154440154442,,,,,,,,,,,,,,,,,,,,,,,,
1938-10-01,,,,,,,,,,0.0,,,,,,,0.25,,,,,,,,,,,,,,,,,
1938-11-01,,,,,,,,,,0.0,,,,,,,0.25,0.0,,,,,,,,,,,,,,,,
1938-12-01,,,,,,,,,,0.0,,,,,,,0.25,0.0,,,,,,,,,,,,,,,,
1939-01-01,,,,,,,,,513.0,3.6363636363636376,,,,,,,0.25,0.0,,,,,,,,,,,,,,,,
